,,,Subdir,T2,Non-fat supressed T1,Pre-contrast,Post 1,Post 2,Post 3,Post 4,MIP,Other,??
,Du160Breastmri12212004,Mri_Breast_Bilat_WWo_Onc - 1,(117025031)(117025001)_10503,,,,,,,,,x,
,Du176Breastmri02232006,Mri_Breast_Bilateral_WWo - 1,(1227150134)(1227150034)_10501,,,,,,,,,x,
,Du176Breastmri03172010,Mri_Breast_Bilateral_W_+_WO - 1,(12271502112)(12271500112)_10502,,,,,,,,,x,
,Du176Breastmri06152011,Mri_Breast_Bilateral_With_And_Without_Contrast - 1,(1227150348)(1227150048)_10503,,,,,,,,,x,
,Du176Breastmri12202007,Mri_Breast_Unilateral - 1,(1337150119)(1337150019)_10501,,,,,,,,,x,
,Du176Breastmri12222008,Mri_Breast_Unilateral_WWo - 1,(1337150214)(1337150014)_10502,,,,,,,,,x,
,Du17Breastmri01072010,Siemens_Erlangen_Breast - 1,(1337150333)(1337150033)_10503,,,,,,,,,x,
,Du17Breastmri01182012,Siemens_Erlangen__Breast_Breast - 1,(135666015)(135666005)_10601,,,,,,,,,x,
,Du17Breastmri01222009,,(1356660219)(1356660019)_10602,,,,,,,,,x,
,Du17Breastmri01222013,,(13566603140)(13566600140)_10603,,,,,,,,,x,
,Du17Breastmri01242011,,(1372650119)(1372650019)_10501,,,,,,,,,x,
,Du17Breastmri02182014,,(1372650259)(1372650059)_10502,,,,,,,,,x,
,Du17Breastmri02272007,,(1372650364)(1372650064)_10503,,,,,,,,,x,
,Du17Breastmri02272008,,(175175011)(175175001)_10501,,,,,,,,,x,
,Du17Breastmri03022015,,(175175021)(175175001)_10502,,,,,,,,,x,
,Du17Breastmri07022008,,(175175031)(175175001)_10503,,,,,,,,,x,
,Du17Breastmri07222005,,(1802601101)(1802600101)_10601,,,,,,,,,x,
,Du17Breastmri08112016,,(1802602124)(1802600124)_10602,,,,,,,,,x,
,Du17Breastmri081717,,(180260369)(180260069)_10603,,,,,,,,,x,
,Du183Breastmri01282013,,(18055011)(18055001)_10501,,,,,,,,,x,
,Du183Breastmri02162016,,(18055021)(18055001)_10502,,,,,,,,,x,
,Du183Breastmri02172015,,(18055031)(18055001)_10503,,,,,,,,,x,
,Du183Breastmri03202014,,(199950175)(199950075)_10501,,,,,,,,,x,
,Du183Breastmri04172008,,(199950235)(199950035)_10502,,,,,,,,,x,
,Du183Breastmri05072009,,(1999503135)(1999500135)_10503,,,,,,,,,x,
,Du183Breastmri05182012,,(206155011)(206155001)_10501,,,,,,,,,x,
,Du183Breastmri05252006,,(206155021)(206155001)_10502,,,,,,,,,x,
,Du183Breastmri06082007,,(206155031)(206155001)_10503,,,,,,,,,x,
,Du183Breastmri10262011,,(220385011)(220385001)_10501,,,,,,,,,x,
,Du185Breastmri01292007,,(220385021)(220385001)_10502,,,,,,,,,x,
,Du185Breastmri07302007,,(220385031)(220385001)_10503,,,,,,,,,x,
,Du185Breastmri07312006,,(2305011)(2305001)_10501,,,,,,,,,x,
,Du186Breastmri05112009,,(2305021)(2305001)_10502,,,,,,,,,x,
,Du186Breastmri05122010,,(2305031)(2305001)_10503,,,,,,,,,x,
,Du186Breastmri05232011,,(238650146)(238650046)_10501,,,,,,,,,x,
,Du186Breastmri12102012,,(2386502118)(2386500118)_10502,,,,,,,,,x,
,Du186Breastmri12212006,,(2386504157)(2386500157)_10504,,,,,,,,,x,
,Du192Breastmri01042011,,(25781423)(2578523)_101,,,,,,,,,x,
,Du192Breastmri01132010,,(2578659)(2578559)_100,,,,,,,,,x,
,Du192Breastmri01282016,,(2578756)(2578556)_101,,,,,,,,,x,
,Du192Breastmri05232008,,(2578871)(2578571)_101,,,,,,,,,x,
,Du192Breastmri06252009,,(2964601129)(2964600129)_10601,,,,,,,,,x,
,Du192Breastmri08032011,,(296460244)(296460044)_10602,,,,,,,,,x,
,Du192Breastmri09262006,,(2964603149)(2964600149)_10603,,,,,,,,,x,
,Du192Breastmri09302014,,(30685108)(30684108)_500,,,,,,,,,x,
,Du194Breastmri07012016,,(3068641)(3068441)_600,,,,,,,,,x,
,Du194Breastmri07062017,,(306879)(306849)_700,,,,,,,,,x,
,Du194Breastmri08102011,,(306897)(306847)_900,,,,,,,,,x,
,Du194Breastmri10012007,,(308950193)(308950093)_10501,,,,,,,,,x,
,Du194Breastmri10082008,,(308950229)(308950029)_10502,,,,,,,,,x,
,Du194Breastmri10212013,,(308950396)(308950096)_10503,,,,,,,,,x,
,Du194Breastmri10302009,,(3109601101)(3109600101)_10601,,,,,,,,,x,
,Du195Breastmri02172011,,(31096024)(31096004)_10602,,,,,,,,,x,
,Du195Breastmri02202007,,(3109603137)(3109600137)_10603,,,,,,,,,x,
,Du195Breastmri03172014,,(31480173)(31480073)_10801,,,,,,,,,x,
,Du195Breastmri07092012,,(314802145)(314800145)_10802,,,,,,,,,x,
,Du195Breastmri07132015,,(314803133)(314800133)_10803,,,,,,,,,x,
,Du195Breastmri10182006,,(334051)(334041)_500,,,,,,,,,x,
,Du195Breastmri11142011,,(334061)(334041)_600,,,,,,,,,x,
,Du195Breastmri11162007,,(334071)(334041)_700,,,,,,,,,x,
,Du195Breastmri11192008,,(334091)(334041)_900,,,,,,,,,x,
,Du195Breastmri12032009,,(350851)(350841)_500,,,,,,,,,x,
,Du199Breastmri03022011,,(350861)(350841)_600,,,,,,,,,x,
,Du199Breastmri03092006,,(350871)(350841)_700,,,,,,,,,x,
,Du199Breastmri04272012,,(350891)(350841)_900,,,,,,,,,x,
,Du199Breastmri10202006,,(3584101)(358451)_105,,,,,,,,,x,
,Du249Breastmri02262010,,(3584101)(358451)_106,,,,,,,,,x,
,Du249Breastmri03202013,,(358461)(358451)_107,,,,,,,,,x,
,Du249Breastmri04292011,,(358461)(358451)_600,,,,,,,,,x,
,Du249Breastmri05232014,,(358471)(358451)_103,,,,,,,,,x,
,Du249Breastmri08202009,,(358481)+(358451)_108,,,,,,,,,x,
,Du249Breastmri11152011,,(38206011)(38206001)_10601,,,,,,,,,x,
,Du249Breastmri11262014,,(38206021)(38206001)_10602,,,,,,,,,x,
,Du281Breastmri02122015,,(38206031)(38206001)_10603,,,,,,,,,x,
,Du281Breastmri02162012,,(39165102)(39164102)_100,,,,,,,,,x,
,Du281Breastmri02172016,,(3916670)(3916470)_100,,,,,,,,,x,
,Du281Breastmri03062014,,(3916791)(3916491)_100,,,,,,,,,x,
,Du281Breastmri03152013,,(3916924)(3916424)_100,,,,,,,,,x,
,Du281Breastmri04072011,,(401170117)(401170017)_10701,,,,,,,,,x,
,Du281Breastmri04122017,,(401170212)(401170012)_10702,,,,,,,,,x,
,Du281Breastmri04232009,,(40117037)(40117007)_10703,,,,,,,,,x,
,Du281Breastmri05212010,,(40535011)(40535001)_10501,,,,,,,,,x,
,Du281Breastmri08192011,,(40535021)(40535001)_10502,,,,,,,,,x,
,Du30Breastmri02162011,,(40535031)(40535001)_10503,,,,,,,,,x,
,Du30Breastmri04272007,,(409951)(409941)_500,,,,,,,,,x,
,Du30Breastmri06042008,,(409961)(409941)_600,,,,,,,,,x,
,Du30Breastmri07022004,,(409971)(409941)_700,,,,,,,,,x,
,Du30Breastmri08052011,,(409991)(409941)_900,,,,,,,,,x,
,Du30Breastmri08122014,,(4886101)(488661)_1000,,,,,,,,,x,
,Du30Breastmri08202009,,(488671)(488661)_700,,,,,,,,,x,
,Du30Breastmri09162010,,(488681)(488661)_800,,,,,,,,,x,
,Du30Breastmri11242003,,(488691)(488661)_900,,,,,,,,,x,
,Du30Breastmri11252003,,(4918513)(4918313)_500,,,,,,,,,x,
,Du30Breastmri12072007,,(491867)(491837)_600,,,,,,,,,x,
,Du35Breastmri01192005,,(491877)(491837)_700,,,,,,,,,x,
,Du35Breastmri04042008,,(4918826)(4918326)_800,,,,,,,,,x,
,Du35Breastmri05082009,,(52801126)(52800126)_10801,,,,,,,,,x,
,Du35Breastmri09282006,,(5280253)(5280053)_10802,,,,,,,,,x,
,Du35Breastmri11162006,,(5280330)(5280030)_10803,,,,,,,,,x,
,Du35Breastmri11212003,,(5312501154)(5312500154)_10501,,,,,,,,,x,
,Du368Breastmri03152011,,(5312502142)(5312500142)_10502,,,,,,,,,x,
,Du368Breastmri05182010,,(531250344)(531250044)_10503,,,,,,,,,x,
,Du390Breastmri06202011,,(565550112)(565550012)_10501,,,,,,,,,x,
,Du39Breastmri01142008,,(5655502152)(5655500152)_10502,,,,,,,,,x,
,Du39Breastmri01222009,,(565550346)(565550046)_10503,,,,,,,,,x,
,Du39Breastmri01252010,,(565550442)(565550042)_10504,,,,,,,,,x,
,Du39Breastmri02022011,,(572780138)(572780038)_10801,,,,,,,,,x,
,Du39Breastmri02062013,,(572780227)(572780027)_10802,,,,,,,,,x,
,Du39Breastmri02092012,,(5727803146)(5727800146)_10803,,,,,,,,,x,
,Du39Breastmri08022007,,(572780454)(572780054)_10804,,,,,,,,,x,
,Du39Breastmri08262004,,(645360194)(645360094)_10601,,,,,,,,,x,
,Du39Breastmri09182013,,(645360260)(645360060)_10602,,,,,,,,,x,
,Du427Breastmri03222012,,(645360395)(645360095)_10603,,,,,,,,,x,
,Du427Breastmri06042008,,(645360485)(645360085)_10604,,,,,,,,,x,
,Du427Breastmri06112007,,(6810601138)(6810600138)_10601,,,,,,,,,x,
,Du427Breastmri06122006,,(68106028)(68106008)_10602,,,,,,,,,x,
,Du427Breastmri06262013,,(681060324)(681060024)_10603,,,,,,,,,x,
,Du427Breastmri08022010,,(681060431)(681060031)_10604,,,,,,,,,x,
,Du427Breastmri08032011,,(68935011)(68935001)_10501,,,,,,,,,x,
,Du427Breastmri08062009,,(68935021)(68935001)_10502,,,,,,,,,x,
,Du481Breastmri02042011,,(68935031)(68935001)_10503,,,,,,,,,x,
,Du481Breastmri08192003,,(69046019)(69046009)_10601,,,,,,,,,x,
,Du481Breastmri12072012,,(690460237)(690460037)_10602,,,,,,,,,x,
,Du49Breastmri01112012,,(6904603128)(6904600128)_10603,,,,,,,,,x,
,Du49Breastmri01172006,,(690460415)(690460015)_10604,,,,,,,,,x,
,Du49Breastmri02192007,,(69047158)(69045158)_700,,,,,,,,,x,
,Du49Breastmri03122013,,(716450130)(716450030)_10501,,,,,,,,,x,
,Du49Breastmri03132008,,(7164502132)(7164500132)_10502,,,,,,,,,x,
,Du49Breastmri03302009,,(7164503144)(7164500144)_10503,,,,,,,,,x,
,Du49Breastmri05242005,,(716450443)(716450043)_10504,,,,,,,,,x,
,Du49Breastmri06182009,,(721850125)(721850025)_10501,,,,,,,,,x,
,Du49Breastmri07182017,,(721850245)(721850045)_10502,,,,,,,,,x,
,Du49Breastmri07212005,,(72185038)(72185008)_10503,,,,,,,,,x,
,Du49Breastmri11242014,,(721850410)(721850010)_10504,,,,,,,,,x,
,Du51Breastmri03032008,,(738660154)(738660054)_10601,,,,,,,,,x,
,Du51Breastmri05132009,,(738660222)(738660022)_10602,,,,,,,,,x,
,Du51Breastmri06172011,,(7386603166)(7386600166)_10603,,,,,,,,,x,
,Du51Breastmri06222004,,(738660450)(738660050)_10604,,,,,,,,,x,
,Du51Breastmri06222005,,(7466501104)(7466500104)_10501,,,,,,,,,x,
,Du51Breastmri12102010,,(746650246)(746650046)_10502,,,,,,,,,x,
,Du63Breastmri04202007,,(746650415)(746650015)_10504,,,,,,,,,x,
,Du63Breastmri08272004,,(772990125)(772990025)_10901,,,,,,,,,x,
,Du63Breastmri12212005,,(772990259)(772990059)_10902,,,,,,,,,x,
,Du64Breastmri04202007,,(772990370)(772990070)_10903,,,,,,,,,x,
,Du64Breastmri05252005,,(796450152)(796450052)_10501,,,,,,,,,x,
,Du64Breastmri08272004,,(796450242)(796450042)_10502,,,,,,,,,x,
,Du64Breastmri12212005,,(7964503135)(7964500135)_10503,,,,,,,,,x,
,Du77Breastmri03152007,,(79965011)(79965001)_10501,,,,,,,,,x,
,Du77Breastmri07202005,,(79965021)(79965001)_10502,,,,,,,,,x,
,Du77Breastmri10182006,,(79965031)(79965001)_10503,,,,,,,,,x,
,Du77Breastmri10262004,,(844080161)(844080061)_10801,,,,,,,,,x,
,Du77Breastmri12202005,,(8440802156)(8440800156)_10802,,,,,,,,,x,
,Du77Breastmri7132005,,(84408036)(84408006)_10803,,,,,,,,,x,
,Du95Breastmri03222005,,(8440804124)(8440800124)_10804,,,,,,,,,x,
,Du95Breastmri05232011,,(8524701159)(8524700159)_10701,,,,,,,,,x,
,Du95Breastmri05302007,,(8524702161)(8524700161)_10702,,,,,,,,,x,
,Du95Breastmri10082009,,(852470347)(852470047)_10703,,,,,,,,,x,
,Du95Breastmri10282005,,(852470450)(852470050)_10704,,,,,,,,,x,
,Du95Breastmri10282014,,(862650146)(862650046)_10501,,,,,,,,,x,
,Du95Breastmri11152010,,(8626502100)(8626500100)_10502,,,,,,,,,x,
,Du95Breastmri11282007,,(862650394)(862650094)_10503,,,,,,,,,x,
,Du96Breastmri04092009,,(921701147)(921700147)_10701,,,,,,,,,x,
,Du96Breastmri04172008,,(921702167)(921700167)_10702,,,,,,,,,x,
,Du96Breastmri06292006,,(921704112)(921700112)_10704,,,,,,,,,x,
,Du96Breastmri07292004,,(93755011)(93755001)_10501,,,,,,,,,x,
,Du96Breastmri09072005,,(93755021)(93755001)_10502,,,,,,,,,x,
,Du98Breastmri01252005,,(93755031)(93755001)_10503,,,,,,,,,x,
,Du98Breastmri01252008,,(93755041)(93755001)_10504,,,,,,,,,x,
,Du98Breastmri02042009,,(9501601145)(9501600145)_10601,,,,,,,,,x,
,Du98Breastmri03212006,,(95016026)(95016006)_10602,,,,,,,,,x,
,Du98Breastmri07242007,,(9501603151)(9501600151)_10603,,,,,,,,,x,
,Du98Breastmri10172006,,(9501604114)(9501600114)_10604,,,,,,,,,x,
,Du98Breastmri12132005,,(970150173)(970150073)_10501,,,,,,,,,x,
,Du98Breastmri12212005,,(970150241)(970150041)_10502,,,,,,,,,x,
,Grant30331726901Lbbreastmri08102004,,(970150340)(970150040)_10503,,,,,,,,,x,
,Grant30331726901Lbbreastmri09072005,,(9701504160)(9701500160)_10504,,,,,,,,,x,
,Mri108Breastmri02292008,,(97360127)(97360027)_10601,,,,,,,,,x,
,Mri108Breastmri03112011,,(97360241)(97360041)_10602,,,,,,,,,x,
,Mri108Breastmri03302010,,(973603130)(973600130)_10603,,,,,,,,,x,
,Mri108Breastmri04162014,,1ST_AXIAL_MIP_104,,,,,,,,x,,
,Mri108Breastmri05112015,,1ST_AXIAL_SUB_MIP_10503,,,,,,,,x,,
,Mri125Breastmri01122005,,1ST_DYN_LEFT_REFORMAT_110,,,,,,,,,x,
,Mri125Breastmri02222010,,1ST_DYN_LEFT_REFORMAT_505,,,,,,,,,x,
,Mri125Breastmri04272011,,1ST_DYN_RIGHT_REFORMAT_111,,,,,,,,,x,
,Mri125Breastmri05012008,,1ST_DYN_RIGHT_REFORMAT_112,,,,,,,,,x,
,Mri125Breastmri08122009,,1ST_DYN_RIGHT_REFORMAT_506,,,,,,,,,x,
,Mri289Breastmri02282012,,1ST_LEFT_MIP_105,,,,,,,,x,,
,Mri289Breastmri03212011,,1ST_LEFT_SUB_MIP_10504,,,,,,,,x,,
,Mri289Breastmri07222009,,1ST_PASS_AXIAL_501,,,,x,,,,,,
,Mri289Breastmri08262010,,1ST_PASS_AXIAL_MIP_101,,,,,,,,x,,
,,,1ST_PASS_AXIAL_MIP_10605,,,,,,,,x,,
,,,1ST_PASS_DYN_LEFT_REFORMAT_503,,,,,,,,,x,
,,,1ST_PASS_DYN_RIGHT_REFORMAT_504,,,,,,,,,x,
,,,1ST_PASS_LEFT_502,,,,,,,,,x,
,,,1ST_PASS_LEFT_BREAST_502,,,,,,,,,x,
,,,1ST_PASS_LEFT_MIP_102,,,,,,,,x,,
,,,1ST_PASS_LEFT_MIP_10606,,,,,,,,x,,
,,,1ST_PASS_LEFT_REFORMAT_603,,,,,,,,,x,
,,,1ST_PASS_LEFT_SUB_REFORMAT_10603,,,,,,,,,x,
,,,1ST_PASS_RIGHT_503,,,,,,,,,x,
,,,1ST_PASS_RIGHT_BREAST_503,,,,,,,,,x,
,,,1ST_PASS_RIGHT_MIP_103,,,,,,,,x,,
,,,1ST_PASS_RIGHT_MIP_10607,,,,,,,,x,,
,,,1ST_PASS_RIGHT_REFORMAT_604,,,,,,,,,x,
,,,1ST_PASS_RIGHT_SUB_REFORMAT_10604,,,,,,,,,x,
,,,1ST_PASS_SUB_AXIAL_MIP_10505,,,,,,,,x,,
,,,1ST_PASS_SUB_LEFT_REFORMAT_10503,,,,,,,,,x,
,,,1ST_PASS_SUB_LEFT_SAG_MIP_10506,,,,,,,,x,,
,,,1ST_PASS_SUB_RIGHT_REFORMAT_10504,,,,,,,,,x,
,,,1ST_PASS_SUB_RIGHT_SAG_MIP_10507,,,,,,,,x,,
,,,1ST_RIGHT_MIP_106,,,,,,,,x,,
,,,1ST_RIGHT_SUB_MIP_10505,,,,,,,,x,,
,,,1ST_SUB_LEFT_REFORMAT_10509,,,,,,,,,x,
,,,1ST_SUB_LEFT_REFORMAT_113,,,,,,,,,x,
,,,1ST_SUB_RIGHT_REFORMAT_10510,,,,,,,,,x,
,,,1ST_SUB_RIGHT_REFORMA_114,,,,,,,,,x,
,,,1st_Pass_Axial_Breast_MipMIP_Collection_109,,,,,,,,x,,
,,,1st_Pass_Axial_Breast_Mip_10505,,,,,,,,x,,
,,,1st_Pass_Axial_Breast_Mip_501,,,,,,,,x,,
,,,1st_Pass_Left_Breast_MipMIP_Collection_107,,,,,,,,x,,
,,,1st_Pass_Left_Breast_Mip_10506,,,,,,,,x,,
,,,1st_Pass_Left_Breast_Mip_502,,,,,,,,x,,
,,,1st_Pass_Left_Breast_Reformats_100,,,,,,,,,x,
,,,1st_Pass_Left_Breast_Reformats_503,,,,,,,,,x,
,,,1st_Pass_Left_Breast_Reformats_Sub_103,,,,,,,,,x,
,,,1st_Pass_Left_Breast_Reformats_Sub_10503,,,,,,,,,x,
,,,1st_Pass_Right_Breast_MipMIP_Collection_108,,,,,,,,x,,
,,,1st_Pass_Right_Breast_Mip_10507,,,,,,,,x,,
,,,1st_Pass_Right_Breast_Mip_503,,,,,,,,x,,
,,,1st_Pass_Right_Breast_Reformats_101,,,,,,,,,x,
,,,1st_Pass_Right_Breast_Reformats_504,,,,,,,,,x,
,,,1st_Pass_Right_Breast_Reformats_Sub_104,,,,,,,,,x,
,,,1st_Pass_Right_Breast_Reformats_Sub_10504,,,,,,,,,x,
,,,1st_Pass_Sub_102,,,,,,,,,x,
,,,1st_ax_dyn_6,,,,x,,,,,,
,,,1st_ax_mip_508,,,,,,,,x,,
,,,1st_left_mip_510,,,,,,,,x,,
,,,1st_pass_10503,,,,x,,,,,,
,,,1st_pass_ax_mipMIP_Collection_104,,,,,,,,x,,
,,,1st_pass_ax_mip_10505,,,,,,,,x,,
,,,1st_pass_ax_mip_10506,,,,,,,,x,,
,,,1st_pass_ax_mip_10806,,,,,,,,x,,
,,,1st_pass_ax_mip_604,,,,,,,,x,,
,,,1st_pass_axialMIP_Collection_19,,,,,,,,x,,
,,,1st_pass_axial_dyn_mip_10602,,,,,,,,x,,
,,,1st_pass_axial_mip_104,,,,,,,,x,,
,,,1st_pass_axial_mip_10506,,,,,,,,x,,
,,,1st_pass_axial_mip_10606,,,,,,,,x,,
,,,1st_pass_axial_mip_10607,,,,,,,,x,,
,,,1st_pass_axial_mip_10706,,,,,,,,x,,
,,,1st_pass_axial_mip_10806,,,,,,,,x,,
,,,1st_pass_axial_mip_10907,,,,,,,,x,,
,,,1st_pass_axial_mip_20,,,,,,,,x,,
,,,1st_pass_axial_sub_mip_104,,,,,,,,x,,
,,,1st_pass_axial_sub_mip_10502,,,,,,,,x,,
,,,1st_pass_axial_sub_mip_10506,,,,,,,,x,,
,,,1st_pass_axial_sub_mip_10602,,,,,,,,x,,
,,,1st_pass_axial_sub_mip_10603,,,,,,,,x,,
,,,1st_pass_dyn_left_reformat_503,,,,,,,,,x,
,,,1st_pass_dyn_right_reformat_504,,,,,,,,,x,
,,,1st_pass_leftMIP_Collection_20,,,,,,,,x,,
,,,1st_pass_left_503,,,,,,,,,x,
,,,1st_pass_left_breast_sag_mip_10808,,,,,,,,x,,
,,,1st_pass_left_breast_sagittal_mip_10508,,,,,,,,x,,
,,,1st_pass_left_breast_sagittal_mip_10608,,,,,,,,x,,
,,,1st_pass_left_breast_sagittal_mip_10909,,,,,,,,x,,
,,,1st_pass_left_breast_sagittal_reformat_sub_10505,,,,,,,,,x,
,,,1st_pass_left_breast_sagittal_reformat_sub_10906,,,,,,,,,x,
,,,1st_pass_left_breast_sagittal_reformat_unsub_505,,,,,,,,,x,
,,,1st_pass_left_breast_sagittal_reformat_unsub_906,,,,,,,,,x,
,,,1st_pass_left_dyn_mpr_504,,,,,,,,,x,
,,,1st_pass_left_dyn_mpr_604,,,,,,,,,x,
,,,1st_pass_left_mip_21,,,,,,,,x,,
,,,1st_pass_left_mpr_100,,,,,,,,,x,
,,,1st_pass_left_mpr_505,,,,,,,,,x,
,,,1st_pass_left_mpr_702,,,,,,,,,x,
,,,1st_pass_left_mpr_8,,,,,,,,,x,
,,,1st_pass_left_reformat_11,,,,,,,,,x,
,,,1st_pass_left_reformat_803,,,,,,,,,x,
,,,1st_pass_left_sag_503,,,,,,,,,x,
,,,1st_pass_left_sag_dyn_mip_10604,,,,,,,,x,,
,,,1st_pass_left_sag_mip_10507,,,,,,,,x,,
